Name,Category,File,File Name,分类,图标名,标签,Tag
incoming,Arrows,https://wentin.github.io/IconPark/source/Arrows/incoming.svg,incoming,方向,输入,"输入, 传入, 数据, 录入, 线, 输入数据","input, the incoming data, input line, the input data"
screenshot,Base,https://wentin.github.io/IconPark/source/Base/screenshot.svg,screenshot,基础,截屏,"截屏, 录频, 裁剪, 截图","screenshots, recording frequency, cutting, screenshots"
api,Base,https://wentin.github.io/IconPark/source/Base/api.svg,api,基础,API 接口,"接口, 开发, 程序, 研发, API","interface, development, procedures, research and development, api"
data user,Datas,https://wentin.github.io/IconPark/source/Datas/data-user.svg,data-user,数据库,数据用户,数据用户,data users
chart ring,Charts,https://wentin.github.io/IconPark/source/Charts/chart-ring.svg,chart-ring,图表,环形图,"环形图, 环状图","fig ring, cyclic fig."
freeze line,Edit,https://wentin.github.io/IconPark/source/Edit/freeze-line.svg,freeze-line,编辑,冻结行,"固定首行, 固定","the first line of fixed, fixed"
h2,Edit,https://wentin.github.io/IconPark/source/Edit/h2.svg,h2,编辑,标题1,"标题, 大","title, large"
short skirt,Clothes,https://wentin.github.io/IconPark/source/Clothes/short-skirt.svg,short-skirt,服饰,短裙,"裙子, 舞蹈裙","skirt, dance skirt"
diamond ring,Clothes,https://wentin.github.io/IconPark/source/Clothes/diamond-ring.svg,diamond-ring,服饰,钻戒,"钻石, 戒指","diamonds, rings"
sun hat,Clothes,https://wentin.github.io/IconPark/source/Clothes/sun-hat.svg,sun-hat,服饰,太阳帽,帽子,hat
banana,Foods,https://wentin.github.io/IconPark/source/Foods/banana.svg,banana,餐饮,香蕉,"果子, 水果, 食物","fruit, fruit, food"
perfume,Clothes,https://wentin.github.io/IconPark/source/Clothes/perfume.svg,perfume,服饰,香水,"香水, 瓶子, 容器","perfume, bottles, containers"
sound one,Hardware,https://wentin.github.io/IconPark/source/Hardware/sound-one.svg,sound-one,硬件,音响,"声音, 音乐, 乐器, 扩音器, 喇叭","sound, music, musical instruments, amplifiers, speakers"
